Year,Month,TT delivered (train),% ontime (Train |Dest),% cancelled (train),%short (train),%bypass (train | loops),% skip services (train),#scheduled (train),#scheduled (train | dest),# ontime (train|dest),#Cancelled (train),#short,#bypass,#skip services
2018,,98.70%,91.90%,0.90%,1.30%,0.50%,0.10%,"764,357","720,256","662,273","7,109","9,635","4,083",668
,January,98.80%,92.30%,0.90%,0.90%,0.50%,0.10%,"64,192","60,317","55,646",580,595,315,44
,February,98.80%,91.80%,0.80%,1.40%,0.50%,0.20%,"59,577","56,641","52,022",491,812,280,110
,March,98.60%,91.20%,0.90%,1.70%,0.80%,0.00%,"63,872","60,540","55,183",549,"1,094",516,30
,April,99.00%,93.20%,0.60%,1.30%,0.50%,0.10%,"60,447","56,228","52,416",361,763,308,38
,May,98.40%,90.00%,1.10%,1.70%,0.60%,0.10%,"64,986","59,239","53,316",706,"1,131",406,57
,June,99.10%,92.60%,0.70%,0.80%,0.50%,0.10%,"61,958","56,892","52,660",403,478,281,37
,July,98.60%,92.50%,1.00%,1.40%,0.70%,0.10%,"65,311","61,811","57,185",623,926,450,53
,August,98.50%,91.60%,1.00%,1.50%,0.60%,0.10%,"66,613","62,897","57,631",668,"1,030",372,61
,September,98.90%,92.40%,0.80%,0.60%,0.50%,0.10%,"62,316","59,266","54,756",527,384,289,32
,October,98.50%,91.40%,1.20%,1.30%,0.30%,0.10%,"67,334","64,490","58,932",791,870,232,41
,November,98.70%,92.10%,1.00%,1.10%,0.50%,0.10%,"64,385","62,588","57,665",626,724,310,91
,December,98.40%,92.40%,1.20%,1.30%,0.50%,0.10%,"63,366","59,347","54,861",784,828,324,74
2019,,98.30%,90.40%,1.30%,1.30%,0.60%,0.10%,"767,700","727,034","656,974","10,148","9,751","4,337",650
,January,98.10%,91.50%,1.50%,1.30%,0.50%,0.00%,"64,986","60,046","54,915",978,843,308,22
,February,98.50%,90.80%,1.10%,1.40%,0.60%,0.00%,"59,875","57,937","52,584",650,867,379,29
,March,98.00%,88.40%,1.70%,1.10%,0.60%,0.10%,"63,585","59,674","52,747","1,071",693,352,89
,April,98.30%,91.40%,1.40%,1.10%,0.40%,0.10%,"61,224","55,318","50,576",839,650,246,56
,May,98.20%,90.40%,1.40%,1.40%,0.70%,0.10%,"65,758","63,554","57,468",914,945,444,34
,June,98.40%,88.30%,1.20%,1.20%,0.60%,0.10%,"61,123","58,857","51,965",713,727,353,72
,July,98.40%,91.30%,1.20%,1.30%,0.60%,0.10%,"66,577","62,136","56,721",770,847,377,43
,August,98.10%,89.90%,1.40%,1.50%,0.60%,0.10%,"66,618","63,607","57,194",937,971,432,69
,September,98.40%,89.90%,1.20%,1.10%,0.50%,0.10%,"63,097","60,438","54,339",764,693,332,55
,October,98.50%,90.30%,1.10%,1.30%,0.60%,0.10%,"66,690","63,864","57,667",727,883,402,55
,November,98.30%,91.50%,1.30%,1.30%,0.50%,0.10%,"63,705","60,468","55,305",857,824,317,42
,December,98.20%,90.80%,1.40%,1.30%,0.60%,0.10%,"64,462","61,135","55,493",928,808,395,84
2020,,98.80%,95.00%,0.90%,1.00%,0.40%,0.10%,"754,553","708,961","673,159","6,582","7,265","2,776",593
,January,98.00%,91.00%,1.70%,1.10%,0.40%,0.20%,"64,415","57,426","52,241","1,087",690,233,106
,February,98.60%,90.30%,1.00%,1.20%,0.60%,0.10%,"60,927","57,294","51,729",613,719,387,38
,March,98.80%,92.70%,0.80%,1.00%,0.50%,0.30%,"64,448","61,361","56,904",523,663,323,169
,April,99.00%,96.20%,0.70%,0.80%,0.40%,0.00%,"62,467","60,240","57,971",467,525,227,28
,May,99.10%,96.20%,0.70%,0.70%,0.40%,0.00%,"65,032","61,899","59,544",426,471,228,23
,June,99.00%,95.70%,0.80%,0.80%,0.30%,0.00%,"62,345","57,509","55,064",501,486,191,23
,July,98.90%,96.30%,0.80%,0.70%,0.50%,0.10%,"65,806","61,362","59,104",526,486,308,53
,August,98.30%,96.20%,1.50%,0.80%,0.30%,0.10%,"60,437","56,124","54,001",878,476,182,32
,September,99.40%,97.60%,0.40%,0.60%,0.30%,0.10%,"59,572","56,074","54,705",234,332,169,33
,October,99.40%,97.10%,0.40%,0.50%,0.30%,0.00%,"62,358","58,954","57,226",256,314,157,24
,November,98.70%,94.70%,1.00%,0.90%,0.40%,0.00%,"61,598","59,123","55,974",626,569,234,21
,December,98.70%,95.30%,0.70%,2.40%,0.20%,0.10%,"65,148","61,595","58,696",445,"1,534",137,43
2021,,98.50%,94.40%,1.20%,1.00%,0.30%,0.10%,"782,829","731,637","690,706","9,115","8,100","2,425",492
,January,98.90%,95.50%,0.80%,0.90%,0.30%,0.00%,"64,207","61,433","58,670",527,548,224,22
,February,98.20%,95.10%,1.00%,2.70%,0.30%,0.10%,"61,481","56,995","54,180",641,"1,649",185,88
,March,98.50%,93.10%,1.20%,0.70%,0.60%,0.00%,"67,665","64,732","60,288",813,493,427,32
,April,99.00%,93.50%,0.80%,0.70%,0.40%,0.00%,"65,790","63,180","59,051",544,439,269,20
,May,98.90%,93.60%,0.90%,0.80%,0.30%,0.10%,"67,471","63,762","59,650",608,520,229,37
,June,98.90%,94.90%,0.80%,1.00%,0.20%,0.10%,"66,894","63,575","60,347",539,660,153,53
,July,98.80%,93.80%,1.00%,0.80%,0.30%,0.00%,"68,848","65,638","61,586",681,554,175,32
,August,99.00%,95.70%,0.80%,0.80%,0.20%,0.10%,"67,505","64,467","61,709",508,552,130,41
,September,99.00%,95.50%,0.80%,0.80%,0.30%,0.00%,"62,196","56,900","54,313",487,502,161,31
,October,97.10%,95.70%,2.50%,1.30%,0.20%,0.10%,"62,856","54,431","52,071","1,563",844,141,67
,November,98.80%,94.50%,1.00%,0.80%,0.20%,0.10%,"61,961","56,367","53,266",618,484,145,49
,December,97.20%,92.40%,2.40%,1.30%,0.30%,0.00%,"65,955","60,157","55,575","1,586",855,186,20
Total,,98.60%,92.90%,1.10%,1.10%,0.40%,0.10%,"3,069,439","2,887,888","2,683,112","32,954","34,751","13,621","2,403"
,2025,98.80%,94.10%,0.90%,0.90%,0.30%,0.10%,"598,226","564,909","531,832","5,373","5,489","1,639",300
,September,99.20%,94.50%,0.60%,0.70%,0.20%,0.00%,"65,427","61,658","58,283",381,432,132,15
,August,99.20%,94.40%,0.60%,0.50%,0.20%,0.10%,"67,245","62,342","58,854",407,359,156,35
,July,97.40%,94.00%,2.10%,1.90%,0.20%,0.00%,"68,974","63,089","59,302","1,437","1,309",138,25
,June,99.10%,94.50%,0.70%,0.80%,0.40%,0.10%,"65,659","63,355","59,839",432,503,241,36
,May,99.10%,93.50%,0.70%,0.80%,0.20%,0.00%,"69,947","67,173","62,779",493,525,166,21
,April,99.00%,94.40%,0.70%,0.80%,0.30%,0.00%,"63,028","60,687","57,312",466,481,179,21
,March,98.80%,93.20%,1.00%,0.60%,0.40%,0.10%,"67,302","63,096","58,831",696,420,268,36
,February,98.90%,93.80%,0.80%,1.00%,0.20%,0.10%,"62,120","58,124","54,542",477,619,151,42
,January,98.80%,95.00%,0.90%,1.20%,0.30%,0.10%,"68,524","65,385","62,090",584,841,208,69
,2024,98.80%,92.90%,0.90%,1.00%,0.40%,0.10%,"808,165","770,929","716,330","7,534","7,693","3,022","1,107"
,December,98.40%,92.50%,1.30%,1.00%,0.50%,0.10%,"65,955","63,427","58,653",853,680,300,42
,November,98.90%,93.50%,0.80%,0.80%,0.30%,0.10%,"66,385","63,935","59,761",537,553,187,38
,October,98.80%,93.40%,0.90%,0.80%,0.30%,0.00%,"70,056","66,509","62,120",647,538,238,26
,September,98.70%,93.20%,1.00%,1.00%,0.30%,0.00%,"66,305","64,622","60,225",676,640,224,26
,August,98.90%,92.90%,0.80%,1.10%,0.30%,0.10%,"69,258","65,933","61,253",559,774,200,36
,July,98.70%,92.40%,0.90%,0.90%,0.30%,0.50%,"70,466","66,253","61,223",655,626,221,347
,June,99.00%,93.70%,0.60%,0.70%,0.80%,0.60%,"64,877","61,628","57,745",417,422,524,357
,May,98.70%,92.50%,0.90%,1.40%,0.40%,0.10%,"69,436","64,492","59,659",620,944,259,45
,April,98.90%,91.90%,0.80%,1.00%,0.30%,0.10%,"66,051","63,705","58,567",553,655,221,47
,March,98.90%,92.50%,0.80%,0.80%,0.40%,0.10%,"65,792","62,585","57,878",518,520,264,95
,February,98.40%,92.10%,1.30%,1.00%,0.30%,0.00%,"64,796","60,907","56,115",874,657,200,25
,January,98.80%,94.30%,0.90%,1.00%,0.30%,0.00%,"68,788","66,933","63,131",625,684,184,23
,2023,98.80%,92.90%,1.00%,0.80%,0.30%,0.10%,"785,228","728,187","676,393","7,763","6,161","2,030",660
,December,98.90%,93.20%,0.80%,0.80%,0.30%,0.10%,"66,893","63,716","59,400",553,514,195,39
,November,98.40%,93.60%,1.40%,0.70%,0.20%,0.10%,"66,156","62,630","58,617",948,464,165,38
,October,98.90%,94.10%,0.90%,0.80%,0.30%,0.10%,"68,758","64,141","60,325",596,557,207,37
,September,98.80%,92.70%,1.00%,0.70%,0.30%,0.10%,"65,069","62,685","58,106",628,475,224,79
,August,98.60%,92.00%,1.10%,1.20%,0.20%,0.10%,"69,110","66,224","60,912",743,834,141,36
,July,98.70%,93.50%,1.10%,0.80%,0.30%,0.00%,"65,601","58,896","55,081",721,534,206,16
,June,99.10%,93.30%,0.60%,0.90%,0.20%,0.00%,"62,608","56,833","53,051",396,538,144,23
,May,98.80%,91.30%,1.00%,0.70%,0.20%,0.00%,"68,269","63,673","58,123",686,450,167,26
,April,98.90%,93.30%,0.80%,0.60%,0.20%,0.50%,"62,100","56,035","52,273",512,345,128,306
,March,98.60%,92.10%,1.20%,0.80%,0.20%,0.00%,"67,024","61,109","56,282",806,558,135,23
,February,98.70%,91.90%,1.10%,0.70%,0.30%,0.00%,"60,792","56,666","52,055",683,443,193,19
,January,99.00%,93.90%,0.80%,0.70%,0.20%,0.00%,"62,848","55,579","52,168",491,449,125,18
,2022,98.10%,93.00%,1.60%,0.80%,0.20%,0.10%,"799,121","752,143","699,210","13,046","6,447","1,944",534
,December,98.20%,91.40%,1.60%,0.80%,0.40%,0.00%,"67,473","63,065","57,672","1,066",525,243,28
,November,98.40%,92.50%,1.30%,1.10%,0.20%,0.10%,"66,781","64,847","59,969",888,716,108,51
,October,98.40%,92.20%,1.40%,0.80%,0.30%,0.20%,"68,132","65,268","60,199",941,559,182,110
,September,98.70%,92.40%,1.20%,0.50%,0.30%,0.00%,"65,922","63,109","58,320",768,361,177,26
,August,98.80%,92.90%,1.00%,0.70%,0.30%,0.00%,"68,630","64,908","60,329",669,454,185,21
,July,98.00%,91.60%,1.80%,0.70%,0.20%,0.10%,"66,912","60,902","55,777","1,193",482,149,57
,June,98.30%,93.10%,1.50%,0.60%,0.30%,0.10%,"66,367","62,564","58,238","1,016",372,169,35
,May,98.50%,93.90%,1.30%,0.50%,0.20%,0.10%,"69,038","65,342","61,339",920,329,164,44
,April,98.00%,93.70%,1.80%,0.50%,0.20%,0.10%,"64,245","60,975","57,153","1,168",323,135,36
,March,97.50%,93.40%,2.30%,0.60%,0.20%,0.00%,"68,924","64,584","60,330","1,591",432,142,30
,February,98.00%,94.20%,1.50%,2.00%,0.20%,0.00%,"61,314","57,105","53,815",895,"1,239",124,27
,January,96.80%,94.30%,3.00%,1.00%,0.30%,0.10%,"65,383","59,474","56,069","1,931",655,166,69
,Total,98.60%,93.20%,1.10%,0.90%,0.30%,0.10%,"2,990,740","2,816,168","2,623,765","33,716","25,790","8,635","2,601"
