level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1417	871	-1	
2	1	1	0	0	0	42	19	1358	16	-1	
3	1	1	1	0	0	42	19	1358	16	-1	
4	1	1	1	1	0	42	19	1358	16	-1	
5	1	1	1	1	1	42	20	30	11	96.792892	Year
5	1	1	1	1	2	143	20	35	11	21.091393	%IT
5	1	1	1	1	3	226	19	67	12	21.091393	 %ontime
5	1	1	1	1	4	322	19	83	12	66.542870	%cancelled
5	1	1	1	1	5	427	19	54	12	56.952114	%short
5	1	1	1	1	6	519	19	66	16	51.534775	 %bypass
5	1	1	1	1	7	629	19	45	16	51.534775	 %skip
5	1	1	1	1	8	707	19	85	12	44.297836	#scheduled
5	1	1	1	1	9	822	19	85	12	60.004597	#scheduled
5	1	1	1	1	10	945	19	64	12	45.754108	 #ontime
5	1	1	1	1	11	1041	19	80	12	16.425400	#cancelled
5	1	1	1	1	12	1151	19	50	12	16.425400	#short
5	1	1	1	1	13	1224	9	14	32	22.911163	©
5	1	1	1	1	14	1248	19	62	16	37.647285	#bypass
5	1	1	1	1	15	1331	9	35	32	37.647285	—#
5	1	1	1	1	16	1373	19	27	16	82.582756	skip
2	1	2	0	0	0	6	30	1407	818	-1	
3	1	2	1	0	0	6	30	1407	812	-1	
4	1	2	1	1	0	128	30	1279	32	-1	
5	1	2	1	1	1	128	40	64	12	26.700447	delivered
5	1	2	1	1	2	221	40	77	16	55.451069	(Train|dest)
5	1	2	1	1	3	342	40	42	15	27.291550	(Train)
5	1	2	1	1	4	433	40	42	15	53.470196	(Train)
5	1	2	1	1	5	509	40	85	16	26.610161	(Train|loops)
5	1	2	1	1	6	624	40	54	12	23.656174	services
5	1	2	1	1	7	725	30	46	32	83.565338	(Train)
5	1	2	1	1	8	827	40	76	16	33.759506	(Trainjdest)
5	1	2	1	1	9	939	40	76	16	29.797676	—(Train|dest)
5	1	2	1	1	10	1060	40	42	15	18.376610	(Train)
5	1	2	1	1	11	1155	40	42	15	44.203140	(Train)
5	1	2	1	1	12	1237	40	85	16	0.000000	(Trainjloops)
5	1	2	1	1	13	1352	40	55	12	20.259743	services
4	1	2	1	2	0	139	54	1261	27	-1	
5	1	2	1	2	1	139	54	42	27	74.871475	(Train)
5	1	2	1	2	2	626	54	46	27	66.158478	(Train)
5	1	2	1	2	3	1358	62	42	15	75.346085	(Train)
4	1	2	1	3	0	6	87	1406	32	-1	
5	1	2	1	3	1	6	96	40	13	95.220795	2018
5	1	2	1	3	2	148	96	51	13	95.137543	98.7%
5	1	2	1	3	3	255	96	51	13	95.086502	91.9%
5	1	2	1	3	4	366	96	41	13	90.769867	0.9%
5	1	2	1	3	5	447	96	40	13	64.957718	1.3%
5	1	2	1	3	6	562	96	40	13	83.849838	0.5%
5	1	2	1	3	7	645	96	41	13	83.832100	0.1%
5	1	2	1	3	8	734	96	66	15	55.896496	764,357
5	1	2	1	3	9	849	96	67	15	83.081665	720,256
5	1	2	1	3	10	958	96	65	15	59.865719	662,273
5	1	2	1	3	11	1079	96	46	15	68.191849	7,109
5	1	2	1	3	12	1167	96	46	15	42.050514	9,635
5	1	2	1	3	13	1285	87	46	32	96.283386	4,083
5	1	2	1	3	14	1383	96	29	13	95.301178	668
4	1	2	1	4	0	19	111	1394	32	-1	
5	1	2	1	4	1	19	111	60	32	96.846672	January
5	1	2	1	4	2	152	120	47	13	93.914261	98.8%
5	1	2	1	4	3	259	120	47	13	95.475838	92.3%
5	1	2	1	4	4	370	120	37	13	85.759987	0.9%
5	1	2	1	4	5	450	120	37	13	65.198593	0.9%
5	1	2	1	4	6	565	120	37	13	84.006935	0.5%
5	1	2	1	4	7	649	120	37	13	30.650307	0.1%
5	1	2	1	4	8	749	120	51	15	89.022606	64,192
5	1	2	1	4	9	864	120	52	15	94.753700	60,317
5	1	2	1	4	10	973	120	51	15	93.299316	55,646
5	1	2	1	4	11	1097	120	28	13	96.541351	580
5	1	2	1	4	12	1185	120	28	13	95.500694	595
5	1	2	1	4	13	1303	120	28	13	94.382240	315
5	1	2	1	4	14	1394	120	19	13	94.652832	44
4	1	2	1	5	0	20	135	1392	32	-1	
5	1	2	1	5	1	20	135	68	32	96.709656	February
5	1	2	1	5	2	152	144	47	13	93.914261	98.8%
5	1	2	1	5	3	259	144	47	13	94.342926	91.8%
5	1	2	1	5	4	370	144	37	13	90.325798	08%
5	1	2	1	5	5	451	144	36	13	64.764526	14%
5	1	2	1	5	6	565	144	37	13	89.201797	0.5%
5	1	2	1	5	7	649	144	37	13	32.741173	0.2%
5	1	2	1	5	8	749	144	51	15	94.852112	59,577
5	1	2	1	5	9	865	135	48	32	95.889000	56,641
5	1	2	1	5	10	973	144	51	15	87.973251	52,022
5	1	2	1	5	11	1096	144	26	13	95.314430	491
5	1	2	1	5	12	1185	144	28	13	95.232269	812
5	1	2	1	5	13	1303	135	28	32	95.412132	280
5	1	2	1	5	14	1386	144	26	13	96.057953	110
4	1	2	1	6	0	20	160	1392	32	-1	
5	1	2	1	6	1	20	160	48	32	95.969238	March
5	1	2	1	6	2	152	169	47	13	90.762245	98.6%
5	1	2	1	6	3	259	169	47	13	94.739410	91.2%
5	1	2	1	6	4	370	169	37	13	76.019371	09%
5	1	2	1	6	5	451	169	36	13	52.848961	1.7%
5	1	2	1	6	6	565	169	37	13	81.925476	0.8%
5	1	2	1	6	7	649	169	37	13	57.215618	0.0%
5	1	2	1	6	8	749	169	51	15	87.052536	63,872
5	1	2	1	6	9	864	160	52	32	94.262825	60,540
5	1	2	1	6	10	973	169	50	15	96.292358	55,183
5	1	2	1	6	11	1097	169	28	13	35.644684	549
5	1	2	1	6	12	1172	169	41	15	35.644684	1,094
5	1	2	1	6	13	1304	169	27	13	96.512566	516
5	1	2	1	6	14	1395	169	17	13	96.341034	30
4	1	2	1	7	0	19	184	1393	32	-1	
5	1	2	1	7	1	19	192	36	18	94.717010	April
5	1	2	1	7	2	152	193	47	13	89.945602	99.0%
5	1	2	1	7	3	259	193	47	13	95.056351	93.2%
5	1	2	1	7	4	370	193	37	13	84.377228	0.6%
5	1	2	1	7	5	451	193	36	13	3.278458	1.3%
5	1	2	1	7	6	565	193	37	13	84.006935	0.5%
5	1	2	1	7	7	649	193	37	13	30.650307	0.1%
5	1	2	1	7	8	749	184	51	32	93.863808	60,447
5	1	2	1	7	9	865	193	51	15	85.401672	56,228
5	1	2	1	7	10	973	193	51	15	93.197021	52,416
5	1	2	1	7	11	1097	193	25	13	96.447594	361
5	1	2	1	7	12	1185	193	28	13	96.059967	763
5	1	2	1	7	13	1303	184	28	32	95.835213	308
5	1	2	1	7	14	1395	193	17	13	95.910378	38
4	1	2	1	8	0	20	209	1392	32	-1	
5	1	2	1	8	1	20	209	33	32	96.991402	May
5	1	2	1	8	2	152	218	47	13	94.559616	98.4%
5	1	2	1	8	3	259	218	47	13	95.499069	90.0%
5	1	2	1	8	4	371	218	36	13	81.591629	11%
5	1	2	1	8	5	451	218	36	13	41.009789	1.7%
5	1	2	1	8	6	565	218	37	13	86.164665	0.6%
5	1	2	1	8	7	649	218	37	13	13.319550	0.1%
5	1	2	1	8	8	749	218	51	15	92.904526	64,986
5	1	2	1	8	9	865	218	50	15	96.510498	59,239
5	1	2	1	8	10	973	218	51	15	94.247993	53,316
5	1	2	1	8	11	1096	218	29	13	39.449142	706
5	1	2	1	8	12	1172	218	39	15	39.449142	1,131
5	1	2	1	8	13	1303	218	28	13	96.164993	406
5	1	2	1	8	14	1395	218	17	13	84.872627	57
4	1	2	1	9	0	19	232	1393	32	-1	
5	1	2	1	9	1	19	241	36	13	96.953918	June
5	1	2	1	9	2	152	241	47	13	90.210449	99.1%
5	1	2	1	9	3	259	241	47	13	95.458748	92.6%
5	1	2	1	9	4	370	241	37	13	73.888206	07%
5	1	2	1	9	5	450	241	37	13	64.402054	0.8%
5	1	2	1	9	6	565	241	37	13	84.006935	0.5%
5	1	2	1	9	7	649	241	37	13	30.650307	0.1%
5	1	2	1	9	8	749	241	51	15	89.999680	61,958
5	1	2	1	9	9	865	241	50	15	96.357727	56,892
5	1	2	1	9	10	973	241	51	15	92.862289	52,660
5	1	2	1	9	11	1092	232	32	32	96.117592	403
5	1	2	1	9	12	1184	241	29	13	71.273010	478
5	1	2	1	9	13	1303	241	26	13	96.588982	281
5	1	2	1	9	14	1395	241	17	13	96.588112	37
4	1	2	1	10	0	19	265	1393	18	-1	
5	1	2	1	10	1	19	265	30	18	96.792778	July
5	1	2	1	10	2	152	266	47	13	90.762245	98.6%
5	1	2	1	10	3	259	266	47	13	95.872780	92.5%
5	1	2	1	10	4	371	266	36	13	82.003311	10%
5	1	2	1	10	5	451	266	36	13	64.624710	14%
5	1	2	1	10	6	565	266	37	13	63.371284	0.7%
5	1	2	1	10	7	630	257	11	32	38.805840	=
5	1	2	1	10	8	649	266	37	13	41.639282	0.1%
5	1	2	1	10	9	749	266	49	15	89.346169	65,311
5	1	2	1	10	10	864	266	49	15	87.888588	61,811
5	1	2	1	10	11	973	266	50	15	93.856781	57,185
5	1	2	1	10	12	1097	266	27	13	80.554352	623
5	1	2	1	10	13	1185	266	28	13	96.625854	926
5	1	2	1	10	14	1303	266	28	13	96.255905	450
5	1	2	1	10	15	1395	266	17	13	93.780716	53
4	1	2	1	11	0	19	281	1392	32	-1	
5	1	2	1	11	1	19	281	56	32	96.552017	August
5	1	2	1	11	2	152	290	47	13	93.005768	98.5%
5	1	2	1	11	3	259	290	47	13	95.818680	91.6%
5	1	2	1	11	4	371	290	36	13	91.536240	10%
5	1	2	1	11	5	451	290	36	13	63.707397	15%
5	1	2	1	11	6	565	290	37	13	86.164665	0.6%
5	1	2	1	11	7	649	290	37	13	13.319550	0.1%
5	1	2	1	11	8	749	290	51	15	81.026405	66,613
5	1	2	1	11	9	864	290	52	15	93.978607	62,897
5	1	2	1	11	10	973	290	48	15	95.131775	57,631
5	1	2	1	11	11	1097	290	28	13	90.787003	668
5	1	2	1	11	12	1172	290	41	15	37.067825	1,030
5	1	2	1	11	13	1303	290	28	13	96.108154	372
5	1	2	1	11	14	1395	290	16	13	90.645493	61
4	1	2	1	12	0	20	306	1392	32	-1	
5	1	2	1	12	1	20	314	86	18	75.799553	September
5	1	2	1	12	2	152	315	47	13	61.242363	98.9%
5	1	2	1	12	3	259	315	47	13	94.614815	92.4%
5	1	2	1	12	4	370	315	37	13	84.823372	0.8%
5	1	2	1	12	5	450	315	37	13	42.195621	0.6%
5	1	2	1	12	6	565	315	37	13	84.006935	0.5%
5	1	2	1	12	7	649	315	37	13	30.650307	0.1%
5	1	2	1	12	8	749	315	51	15	91.851974	62,316
5	1	2	1	12	9	865	315	51	15	93.507950	59,266
5	1	2	1	12	10	969	306	55	32	93.143562	54,756
5	1	2	1	12	11	1097	315	28	13	94.663635	527
5	1	2	1	12	12	1185	315	28	13	95.669243	384
5	1	2	1	12	13	1303	315	28	13	95.385605	289
5	1	2	1	12	14	1395	315	17	13	96.486214	32
4	1	2	1	13	0	20	330	1391	32	-1	
5	1	2	1	13	1	20	338	64	14	96.827179	October
5	1	2	1	13	2	152	339	47	13	93.005768	98.5%
5	1	2	1	13	3	259	339	47	13	94.662796	91.4%
5	1	2	1	13	4	371	339	36	13	75.682999	1.2%
5	1	2	1	13	5	451	339	36	13	58.787796	13%
5	1	2	1	13	6	565	339	37	13	66.038864	0.3%
5	1	2	1	13	7	649	339	37	13	5.066025	0.1%
5	1	2	1	13	8	749	339	51	15	90.477074	67,334
5	1	2	1	13	9	860	330	56	32	95.269623	64,490
5	1	2	1	13	10	973	339	51	15	86.233856	58,932
5	1	2	1	13	11	1096	339	26	13	95.434975	791
5	1	2	1	13	12	1185	339	28	13	96.511345	870
5	1	2	1	13	13	1303	339	28	13	93.685158	232
5	1	2	1	13	14	1394	339	17	13	67.716141	4
4	1	2	1	14	0	20	354	1391	32	-1	
5	1	2	1	14	1	20	354	83	32	96.915482	November
5	1	2	1	14	2	152	363	47	13	93.834724	98.7%
5	1	2	1	14	3	259	363	47	13	95.512672	92.1%
5	1	2	1	14	4	371	363	36	13	87.312744	10%
5	1	2	1	14	5	451	363	36	13	66.436844	1.1%
5	1	2	1	14	6	565	363	37	13	84.006935	0.5%
5	1	2	1	14	7	649	363	37	13	30.650307	0.1%
5	1	2	1	14	8	749	354	55	32	70.260643	64,385,
5	1	2	1	14	9	864	363	52	15	96.361748	62,588
5	1	2	1	14	10	973	363	50	15	96.206535	57,665
5	1	2	1	14	11	1097	363	28	13	92.592781	626
5	1	2	1	14	12	1185	363	28	13	86.605247	724
5	1	2	1	14	13	1303	363	28	13	96.325806	310
5	1	2	1	14	14	1395	363	16	13	13.126991	91
4	1	2	1	15	0	20	378	1393	32	-1	
5	1	2	1	15	1	20	378	81	32	96.699059	December
5	1	2	1	15	2	152	387	47	13	94.559616	98.4%
5	1	2	1	15	3	259	387	47	13	94.614815	92.4%
5	1	2	1	15	4	371	387	36	13	75.682999	1.2%
5	1	2	1	15	5	451	387	36	13	58.787796	13%
5	1	2	1	15	6	565	387	37	13	84.006935	0.5%
5	1	2	1	15	7	649	387	37	13	30.650307	0.1%
5	1	2	1	15	8	749	387	51	15	87.495544	63,366
5	1	2	1	15	9	865	378	51	32	91.774628	59,347
5	1	2	1	15	10	969	378	52	32	94.844803	54,861
5	1	2	1	15	11	1096	378	34	32	93.697708	784
5	1	2	1	15	12	1185	387	28	13	96.209518	828
5	1	2	1	15	13	1303	387	29	13	76.760544	324
5	1	2	1	15	14	1395	387	18	13	85.000893	74
4	1	2	1	16	0	6	403	1406	32	-1	
5	1	2	1	16	1	6	412	40	13	94.475098	2019
5	1	2	1	16	2	148	412	51	13	92.968292	98.3%
5	1	2	1	16	3	255	403	51	32	93.521530	90.4%
5	1	2	1	16	4	367	412	40	13	75.667854	13%
5	1	2	1	16	5	447	412	40	13	69.506866	1.3%
5	1	2	1	16	6	562	412	40	13	72.262329	0.6%
5	1	2	1	16	7	645	412	41	13	71.913620	0.1%
5	1	2	1	16	8	734	412	66	15	40.601559	767,700
5	1	2	1	16	9	849	412	67	15	55.830597	727,034
5	1	2	1	16	10	958	412	66	15	63.785049	656,974
5	1	2	1	16	11	1045	403	14	32	24.836266	+=
5	1	2	1	16	12	1070	412	141	15	12.169647	10,148—9,751
5	1	2	1	16	13	1285	412	47	15	92.451981	4,337
5	1	2	1	16	14	1383	412	29	13	94.830864	650
4	1	2	1	17	0	19	427	1393	32	-1	
5	1	2	1	17	1	19	427	60	32	96.846672	January
5	1	2	1	17	2	152	436	47	13	93.888870	98.1%
5	1	2	1	17	3	259	436	47	13	93.727356	91.5%
5	1	2	1	17	4	371	436	36	13	78.629318	15%
5	1	2	1	17	5	451	436	36	13	63.095856	13%
5	1	2	1	17	6	565	436	37	13	91.630531	0.5%
5	1	2	1	17	7	649	436	37	13	49.343548	0.0%
5	1	2	1	17	8	749	436	51	15	92.904526	64,986
5	1	2	1	17	9	864	427	52	32	93.956253	60,046
5	1	2	1	17	10	969	427	54	32	95.737274	54,915
5	1	2	1	17	11	1096	436	29	13	89.327011	978
